TEAM,PLAYERS,2018 CAP DOLLARS,AVG CAP DOLLARS,% of Cap,Year
Atlanta Falcons,15,47177368,3145158,28.06,18
Dallas Cowboys,14,47330201,3380729,26.6,18
Oakland Raiders,16,43989237,2749327,24.55,18
Cleveland Browns,17,41144535,2420267,24.47,18
New Orleans Saints,16,41882654,2617666,24.46,18
Washington Redskins,18,39375099,2187506,23.68,18
Indianapolis Colts,15,33272060,2218137,23.44,18
New York Jets,14,39709866,2836419,23,18
Philadelphia Eagles,16,38777269,2423579,22.36,18
Los Angeles Chargers,16,36364069,2272754,21.72,18
Pittsburgh Steelers,17,37754381,2220846,21.44,18
Denver Broncos,16,37486327,2342895,21.43,18
Kansas City Chiefs,14,36030134,2573581,21.15,18
Green Bay Packers,16,36336799,2271050,20.92,18
Tennessee Titans,16,35304561,2206535,20.32,18
Miami Dolphins,14,32228738,2302053,19.84,18
Chicago Bears,13,30282341,2329411,19.3,18
Tampa Bay Buccaneers,16,34792368,2174523,18.71,18
Los Angeles Rams,15,32900558,2193371,18.61,18
Carolina Panthers,17,33378315,1963430,18.48,18
San Francisco 49ers,16,35669494,2229343,18.18,18
New York Giants,17,29964530,1762619,17.72,18
Detroit Lions,16,30300358,1893772,17.59,18
Cincinnati Bengals,15,30222340,2014823,17.4,18
Seattle Seahawks,16,26861526,1678845,16.13,18
Jacksonville Jaguars,15,29419383,1961292,15.41,18
Minnesota Vikings,15,26542336,1769489,15.37,18
Baltimore Ravens,15,24944595,1662973,15.14,18
Arizona Cardinals,16,23910341,1494396,14.45,18
Houston Texans,14,21448424,1532030,13.56,18
New England Patriots,15,19391489,1292766,11.56,18
Buffalo Bills,15,17239629,1149309,9.98,18
Pittsburgh Steelers,9,38584612,4287179,23.62,17
Oakland Raiders,9,34649435,3849937,21.07,17
Cleveland Browns,9,28508043,3167560,18.2,17
Philadelphia Eagles,8,27354874,3419359,15.85,17
Kansas City Chiefs,8,24185930,3023241,14.45,17
Jacksonville Jaguars,10,23828773,2382877,13.91,17
New Orleans Saints,8,22982528,2872816,14.21,17
Chicago Bears,9,22533146,2503683,13.43,17
Carolina Panthers,10,22207258,2220726,12.62,17
New York Jets,8,21611387,2701423,14.91,17
Buffalo Bills,9,21352767,2372530,13.77,17
Los Angeles Rams,9,20275035,2252782,12.92,17
San Francisco 49ers,7,19863497,2837642,13.66,17
Atlanta Falcons,10,19194343,1919434,11.54,17
Green Bay Packers,8,18894817,2361852,11.21,17
Seattle Seahawks,8,18705202,2338150,11.17,17
Minnesota Vikings,9,18428959,2047662,12,17
